Item,Org,CR,IC,COT,ΔCR,ΔIC,ΔCOT
IfElseSwap,0.548,0.516,0.419,0.57,-0.032,-0.129,0.022
DeadException,0.788,0.723,0.731,0.798,-0.065,-0.057,0.01
DeadVariable,0.681,0.643,0.686,0.681,-0.037,0.005,0.0
TryNcatchWrapper,0.773,0.715,0.759,0.775,-0.058,-0.014,0.003
ReturnViaVariable,0.687,0.616,0.768,0.788,-0.071,0.081,0.101
ShuffleNames,0.847,0.782,0.833,0.829,-0.065,-0.014,-0.019
RandomNames,0.916,0.855,0.818,0.905,-0.061,-0.098,-0.012
IndependentLineSwap,0.778,0.778,0.778,0.778,0.0,0.0,0.0
defUseBreak,0.718,0.62,0.626,0.693,-0.098,-0.092,-0.025

Item,Org,CR,IC,COT,ΔCR,ΔIC,ΔCOT
MAX,0.916,0.855,0.833,0.905,0.0,0.081,0.101
MIN,0.548,0.516,0.419,0.57,-0.098,-0.129,-0.025
AVG,0.748,0.694,0.713,0.757,-0.054,-0.035,0.009
