Item,Org,CR,IC,COT,ΔCR,ΔIC,ΔCOT
IfElseSwap,0.796,0.785,0.634,0.867,-0.011,-0.161,0.071
DeadException,0.925,0.925,0.776,0.955,0.0,-0.15,0.03
DeadVariable,0.935,0.938,0.771,0.958,0.002,-0.165,0.023
TryNcatchWrapper,0.94,0.929,0.808,0.916,-0.011,-0.132,-0.024
ReturnViaVariable,0.889,0.939,0.869,0.969,0.051,-0.02,0.08
ShuffleNames,0.861,0.843,0.736,0.852,-0.019,-0.125,-0.009
RandomNames,0.919,0.876,0.766,0.931,-0.043,-0.153,0.012
IndependentLineSwap,0.889,0.778,0.556,1.0,-0.111,-0.333,0.111
defUseBreak,0.755,0.736,0.632,0.726,-0.018,-0.123,-0.028

Item,Org,CR,IC,COT,ΔCR,ΔIC,ΔCOT
MAX,0.94,0.939,0.869,1.0,0.051,-0.02,0.111
MIN,0.755,0.736,0.556,0.726,-0.111,-0.333,-0.028
AVG,0.879,0.861,0.728,0.908,-0.018,-0.151,0.03
