Item,Org,CR,IC,COT,ΔCR,ΔIC,ΔCOT
IfElseSwap,0.667,0.559,0.323,0.591,-0.108,-0.344,-0.075
DeadException,0.853,0.673,0.354,0.803,-0.18,-0.499,-0.05
DeadVariable,0.778,0.549,0.314,0.763,-0.229,-0.464,-0.015
TryNcatchWrapper,0.89,0.685,0.485,0.77,-0.205,-0.405,-0.121
ReturnViaVariable,0.667,0.535,0.313,0.657,-0.131,-0.354,-0.01
ShuffleNames,0.866,0.731,0.468,0.764,-0.134,-0.398,-0.102
RandomNames,0.832,0.671,0.445,0.76,-0.162,-0.387,-0.072
IndependentLineSwap,0.889,0.667,0.333,0.778,-0.222,-0.556,-0.111
defUseBreak,0.669,0.577,0.356,0.65,-0.092,-0.313,-0.018

Item,Org,CR,IC,COT,ΔCR,ΔIC,ΔCOT
MAX,0.89,0.731,0.485,0.803,-0.092,-0.313,-0.01
MIN,0.667,0.535,0.313,0.591,-0.229,-0.556,-0.121
AVG,0.79,0.627,0.377,0.726,-0.163,-0.413,-0.064
