Item,Org,CR,IC,COT,ΔCR,ΔIC,ΔCOT
IfElseSwap,0.591,0.602,0.344,0.495,0.011,-0.247,-0.097
DeadException,0.903,0.918,0.531,0.713,0.015,-0.372,-0.19
DeadVariable,0.88,0.873,0.531,0.691,-0.007,-0.349,-0.19
TryNcatchWrapper,0.882,0.885,0.6,0.808,0.003,-0.282,-0.074
ReturnViaVariable,0.798,0.879,0.596,0.768,0.081,-0.202,-0.03
ShuffleNames,0.801,0.801,0.523,0.639,0.0,-0.278,-0.162
RandomNames,0.85,0.838,0.569,0.688,-0.012,-0.28,-0.162
IndependentLineSwap,0.778,0.778,0.444,0.778,0.0,-0.333,0.0
defUseBreak,0.724,0.706,0.479,0.626,-0.018,-0.245,-0.098

Item,Org,CR,IC,COT,ΔCR,ΔIC,ΔCOT
MAX,0.903,0.918,0.6,0.808,0.081,-0.202,0.0
MIN,0.591,0.602,0.344,0.495,-0.018,-0.372,-0.19
AVG,0.801,0.809,0.513,0.69,0.008,-0.288,-0.111
